Run,pressure(bar),temperature(?),[initiator] (mol/L),[ethylene] (mol/L),reaction time (s),[catalyst](mol/L),stirring rate(rpm),conversion,polymerization rate (gPE/min),productivity (mp/mcat),yield,Molecular weight (10^5)
37,14.24,179.63,0.0712,0.0037827943699651314,5598,0.0071200000000000005,220,0.7120000000000001,1.7320000000000002,1.732,1e-06,5.04
38,14.959999999999999,179.57,0.0748,0.0039745859448523865,5688,0.0074800000000000005,230,0.7480000000000001,1.828,1.828,1e-06,5.16
39,15.68,179.61,0.0784,0.004165508134716699,5760,0.00784,240,0.784,1.9240000000000002,1.924,1e-06,5.279
40,16.4,179.5,0.082,0.004357840223561455,5832,0.0082,250,0.8200000000000001,2.02,2.02,1e-06,5.4
41,17.119999999999997,179.69,0.0856,0.0045472513278770705,5874,0.008560000000000002,260,0.8560000000000001,2.116,2.116,1e-06,5.52
42,17.84,179.58,0.0892,0.004739642182838806,5982,0.00892,270,0.892,2.212,2.212,1e-06,5.64
43,18.56,179.83,0.09280000000000001,0.00492820680727046,6048,0.00928,280,0.928,2.3080000000000003,2.308,1e-06,5.76
44,19.28,179.32,0.0964,0.005125157543435219,6102,0.00964,290,0.9640000000000001,2.4040000000000004,2.404,1e-06,5.88
45,20,179.58,0.1,0.0053135002049762405,6174,0.01,300,1,2.5,2.5,1e-06,6
46,30.1,170,0.01,0.008169692714515028,4506,0.001,50,0.1,0.1,0.1,1e-06,3
47,30,171.0344827586207,0.01310344827586207,0.008123587297080808,4548,0.001310344827586207,58.62068965517241,0.1310344827586207,0.18275862068965518,0.18275862068965518,1e-06,3.103448275862069
48,30,172.0689655172414,0.016206896551724137,0.008104711841074084,4638,0.001620689655172414,67.24137931034483,0.16206896551724137,0.2655172413793103,0.2655172413793103,1e-06,3.206896551724138
49,29.7,173.1034482758621,0.019310344827586208,0.00800506465839803,4638,0.0019310344827586207,75.86206896551724,0.193103448,0.34827586206896555,0.34827586206896555,1e-06,3.310344827586207
50,29.3,174.1379310344828,0.02241379310344828,0.007878987658742998,4638,0.002241379310344828,84.48275862068965,0.224137931,0.43103448275862066,0.43103448275862066,1e-06,3.413793103448276
51,29.2,175.1724137931035,0.025517241379310347,0.007833978573748505,4644,0.0025517241379310347,93.10344827586206,0.255172414,0.5137931034482759,0.5137931034482759,1e-06,3.517241379310345
52,29.1,176.20689655172413,0.028620689655172414,0.007789176723238522,4644,0.0028620689655172414,101.72413793103449,0.286206897,0.596551724137931,0.596551724137931,1e-06,3.620689655172414
53,29.4,177.24137931034483,0.031724137931034485,0.007851402481724081,4650,0.0031724137931034486,110.3448275862069,0.317241379,0.6793103448275862,0.6793103448275862,1e-06,3.724137931034483
54,29.5,178.27586206896552,0.034827586206896556,0.007860054543045421,4686,0.0034827586206896553,118.96551724137932,0.348275862,0.7620689655172413,0.7620689655172413,1e-06,3.827586206896552
55,29.5,179.31034482758622,0.03793103448275863,0.007842083706485816,4752,0.003793103448275862,127.58620689655173,0.379310345,0.8448275862068965,0.8448275862068965,1e-06,3.93103448275862
56,29.5,180.34482758620686,0.04103448275862069,0.007824194857721654,4812,0.004103448275862069,136.20689655172413,0.41034482758620694,0.9275862068965517,0.9275862068965517,1e-06,4.034482758620689
57,29.4,181.37931034482756,0.04413793103448276,0.007779925106659548,4836,0.004413793103448276,144.82758620689657,0.4413793103448276,1.010344827586207,1.010344827586207,1e-06,4.137931034482759
58,29.7,182.41379310344826,0.04724137931034483,0.007841465370076439,4836,0.004724137931034483,153.44827586206898,0.4724137931034482,1.0931034482758621,1.0931034482758621,1e-06,4.241379310344827
59,29.5,183.44827586206895,0.050344827586206904,0.007771014665581506,4854,0.0050344827586206896,162.0689655172414,0.503448276,1.1758620689655173,1.1758620689655173,1e-06,4.344827586206897
60,29.5,184.48275862068965,0.05344827586206897,0.0077534482205727125,4950,0.005344827586206897,170.6896551724138,0.534482759,1.2586206896551726,1.2586206896551726,1e-06,4.448275862068965
61,29.5,185.51724137931035,0.05655172413793104,0.007735961014641196,4998,0.005655172413793104,179.31034482758622,0.565517241,1.3413793103448277,1.3413793103448277,1e-06,4.551724137931035
62,29.5,186.55172413793105,0.05965517241379311,0.007718552512843611,5040,0.005965517241379311,187.93103448275863,0.596551724,1.4241379310344828,1.4241379310344828,1e-06,4.655172413793103
63,29.5,187.58620689655174,0.06275862068965518,0.0077012221850410074,5088,0.006275862068965517,196.55172413793105,0.627586207,1.506896551724138,1.506896551724138,1e-06,4.758620689655173
64,29.5,188.62068965517244,0.06586206896551725,0.007683969505845017,5112,0.006586206896551724,205.17241379310346,0.65862069,1.589655172413793,1.589655172413793,1e-06,4.862068965517241
65,29.5,189.65517241379314,0.06896551724137931,0.007666793954564754,5148,0.006896551724137932,213.79310344827587,0.689655172,1.6724137931034484,1.6724137931034484,1e-06,4.965517241379311
66,29.5,190.68965517241378,0.07206896551724139,0.007649695015154439,5196,0.0072068965517241386,222.41379310344828,0.720689655,1.7551724137931035,1.7551724137931035,1e-06,5.068965517241379
67,29.5,191.72413793103448,0.07517241379310345,0.00763267217616171,5214,0.007517241379310345,231.0344828,0.751724138,1.8379310344827586,1.8379310344827586,1e-06,5.172413793103448
68,29.5,192.75862068965517,0.07827586206896552,0.0076157249306766294,5316,0.007827586206896553,239.6551724137931,0.782758621,1.920689655172414,1.920689655172414,1e-06,5.275862068965518
69,29.5,193.79310344827587,0.0813793103448276,0.007598852776281365,5460,0.008137931034482758,248.27586206896552,0.813793103,2.003448275862069,2.003448275862069,1e-06,5.379310344827586
70,29.5,194.82758620689657,0.08448275862068966,0.007582055215000546,5604,0.008448275862068966,256.89655172413796,0.844827586,2.086206896551724,2.086206896551724,1e-06,5.482758620689654
71,29.5,195.8620689655172,0.08758620689655172,0.007565331753252263,5748,0.008758620689655173,265.51724137931035,0.8758620689655172,2.1689655172413795,2.1689655172413795,1e-06,5.586206896551724
72,29.5,196.8965517241379,0.0906896551724138,0.007548681901799725,5868,0.00906896551724138,274.1379310344828,0.9068965517241379,2.2517241379310344,2.2517241379310344,1e-06,5.689655172413794
73,29.5,197.9310344827586,0.09379310344827586,0.007532105175703549,5952,0.009379310344827588,282.75862068965523,0.9379310344827586,2.3344827586206898,2.3344827586206898,1e-06,5.793103448275862
74,29.5,198.9655172413793,0.09689655172413793,0.007515601094274682,6030,0.009689655172413793,291.3793103448276,0.9689655172413792,2.417241379310345,2.417241379310345,1e-06,5.89655172413793
75,29.5,200,0.1,0.007499169181027936,6150,0.01,300,1,2.5,2.5,1e-06,6
76,10,100,0.001,1,18,0.05,200,0.1,75.5,7.550000000000001,7.295526676687058e-06,3
77,10.666666666666666,103.33333333333333,0.0010666666666666667,1.0666666666666667,3.6,0.05333333333333334,220,0.1,76.4,7.640000000000001,1.3170792248442975e-06,3.1333333333333333
78,11.333333333333334,106.66666666666667,0.0011333333333333336,1.1333333333333335,14.4,0.05666666666666668,240,0.1,77.5,7.75,8.592764544976038e-06,3.2666666666666666
79,12,110,0.0012000000000000003,1.2000000000000002,276.6,0.06000000000000001,260,0.1,77.6,7.76,0.0003659148163757739,3.4
80,12.666666666666666,113.33333333333333,0.0012666666666666668,1.2666666666666666,2100,0.06333333333333334,280,0.1,77.6,7.76,0.005083105398528374,3.533333333333333
81,13.333333333333332,116.66666666666667,0.0013333333333333333,1.3333333333333333,2791.2,0.06666666666666667,300,0.1,77.7,7.7700000000000005,0.00867317170035048,3.6666666666666665
82,14,120,0.0014000000000000002,1.4000000000000001,3432,0.07,320,0.1,77.7,7.7700000000000005,0.013405426823578943,3.8
83,14.666666666666666,123.33333333333334,0.001466666666666667,1.4666666666666668,1728,0.07333333333333335,340,0.1,77.9,7.790000000000001,0.00706089275326969,3.9333333333333336
84,15.333333333333332,126.66666666666667,0.0015333333333333332,1.5333333333333332,2064,0.07666666666666666,360,0.1,78.1,7.81,0.010436804325412712,4.066666666666666
85,16,130,0.0016000000000000003,1.6,1500,0.08000000000000002,380,0.1,78.1,7.81,0.008460224380587146,4.2
86,16.666666666666664,133.33333333333334,0.0016666666666666666,1.6666666666666665,1332,0.08333333333333333,400,0.1,78.4,7.840000000000001,0.008685418934048514,4.333333333333333
87,17.333333333333332,136.66666666666669,0.0017333333333333335,1.7333333333333334,882,0.08666666666666667,420,0.1,78.6,7.859999999999999,0.0062447694045613174,4.466666666666667
88,18,140,0.0018000000000000002,1.8,1260,0.09000000000000001,440,0.1,79,7.9,0.011254106701028372,4.6
89,18.666666666666664,143.33333333333334,0.0018666666666666664,1.8666666666666665,696,0.09333333333333332,460,0.1,79.2,7.920000000000001,0.006461513932578888,4.733333333333333
90,19.333333333333332,146.66666666666669,0.0019333333333333336,1.9333333333333333,654,0.09666666666666668,480,0.1,80,8,0.006994094882057996,4.866666666666667
91,20,150,0.002,2,504,0.1,500,0.1,80.4,8.040000000000001,0.005947789558323459,5
92,20.666666666666664,153.33333333333334,0.0020666666666666667,2.0666666666666664,36.6,0.10333333333333333,520,0.10000000000000002,80.6,8.06,0.000296240748389956,5.133333333333333
93,21.333333333333332,156.66666666666669,0.0021333333333333334,2.1333333333333333,18,0.10666666666666667,540,0.1,81.2,8.120000000000001,0.00014605223509026218,5.266666666666667
94,22,160,0.0022,2.2,411,0.11000000000000001,560,0.1,81.4,8.14,0.007181966710802303,5.4
95,22.666666666666664,163.33333333333334,0.002266666666666667,2.2666666666666666,355.8,0.11333333333333334,580,0.10000000000000002,83.1,8.31,0.006939369188786213,5.533333333333333
96,23.333333333333332,166.66666666666669,0.0023333333333333335,2.3333333333333335,140.4,0.11666666666666668,600,0.09999999999999999,83.5,8.35,0.0026048739361146053,5.666666666666666
97,24,170,0.0024000000000000007,2.4000000000000004,456,0.12000000000000002,620,0.10000000000000002,83.8,8.38,0.012236408024000974,5.8
98,24.666666666666664,173.33333333333334,0.002466666666666667,2.466666666666667,181.2,0.12333333333333335,640,0.10000000000000002,84.5,8.450000000000001,0.004608428114326876,5.933333333333334
99,25.333333333333332,176.66666666666669,0.0025333333333333336,2.533333333333333,415.2,0.12666666666666668,660,0.1,85,8.5,0.014174028979306369,6.066666666666666
100,26,180,0.0026000000000000003,2.6,237,0.13,680,0.09999999999999999,85.3,8.53,0.008205295876771471,6.2
101,26.666666666666664,183.33333333333334,0.0026666666666666666,2.6666666666666665,259.2,0.13333333333333333,700,0.1,86.6,8.66,0.010341741185844983,6.333333333333334
102,27.333333333333332,186.66666666666669,0.0027333333333333337,2.7333333333333334,155.4,0.1366666666666667,720,0.09999999999999999,87.1,8.709999999999999,0.006322133520857292,6.466666666666667
103,28,190,0.0028000000000000004,2.8000000000000003,240.6,0.14,740,0.1,88.4,8.840000000000002,0.01204074153033023,6.6
104,28.666666666666664,193.33333333333334,0.0028666666666666667,2.8666666666666667,162.6,0.14333333333333334,760,0.1,90.2,9.020000000000001,0.008463164574128603,6.733333333333333
105,29.333333333333332,196.66666666666669,0.002933333333333334,2.9333333333333336,166.8,0.1466666666666667,780,0.09999999999999999,91.7,9.17,0.009796107764579917,6.866666666666667
106,30,200,0.0030000000000000005,3,140.4,0.15000000000000002,800,0.1,93.3,9.33,0.008925962622416506,7
116,10,26.850000000000023,0.001,0.004009301579664823,1000,0.01,100,0.02,1.0376725920484955e-06,7.200202581706101e-08,0.0010376725920484956,0.069388
117,13.636363636363637,35.94090909090909,0.0018181818181818182,0.005306428561321089,1363.6363636363635,0.01818181818181818,136.36363636363637,0.03,2.885454356671729e-06,5.653124466504119e-07,0.0039347104863705394,0.195918
118,17.272727272727273,45.03181818181821,0.0026363636363636363,0.006529434001168425,1727.2727272727273,0.026363636363636367,172.72727272727275,0.04,6.681074526535935e-06,3.9541004234869215e-06,0.01154003781856207,0.591836
119,20.909090909090907,54.122727272727275,0.003454545454545455,0.007684494694357575,2090.909090909091,0.034545454545454546,209.0909090909091,0.06,1.3946932464460143e-05,1.1043683214928262e-05,0.029161767880234845,0.791836
120,24.545454545454547,63.2136363636364,0.0042727272727272735,0.008777119674401368,2454.5454545454545,0.04272727272727273,245.45454545454547,0.1,2.7090417602845333e-05,2.5652972954420757e-05,0.06649466138880218,0.946939
121,28.18181818181818,72.30454545454546,0.005090909090909091,0.009812238076548118,2818.181818181818,0.05090909090909091,281.81818181818187,0.15,4.978421056218668e-05,5.222259141131203e-05,0.14030095703888973,1.048979
122,31.818181818181817,81.39545454545458,0.00590909090909091,0.010794273483712981,3181.818181818182,0.0590909090909091,318.1818181818182,0.21,8.7452254790737e-05,9.780371583355218e-05,0.2782571743341632,1.118367
123,35.45454545454545,90.48636363636365,0.006727272727272728,0.011727207120519606,3545.4545454545455,0.06727272727272728,354.54545454545456,0.26,0.000147876,0.0001696052404584053,0.5242891476496695,1.146939
124,39.09090909090909,99.57727272727277,0.007545454545454546,0.012614631799433222,3909.090909090909,0.07545454545454545,390.90909090909093,0.32,0.000241936,0.0002913110030521992,0.9457505333934947,1.204082
125,42.72727272727273,108.66818181818184,0.008363636363636365,0.013459798160303332,4272.727272727272,0.08363636363636363,427.2727272727273,0.38,0.000384491,0.00048492906950969687,1.642824478944534,1.261224
126,46.36363636363636,117.75909090909096,0.009181818181818183,0.014265654457877155,4636.363636363636,0.09181818181818181,463.6363636363637,0.43,0.0005954109908987821,0.0007898311371679522,2.760541866894353,1.326531
127,50,126.85000000000002,0.01,0.015034880923743084,5000,0.1,500,0.47,0.0009007622412935089,0.0012390074705216343,4.503811206467544,1.37551
128,10,26.850000000000023,0.001,0.004009301579664823,1000,0.01,100,0.005,1.0376725920484955e-06,3.4397808753815575e-08,0.0010376725920484956,0.033149
129,13.333333333333334,35.18333333333334,0.0017500000000000003,0.005201256103348959,1333.3333333333333,0.0175,133.33333333333334,0.032,2.6731230542264575e-06,4.430594537458184e-07,0.003564164072301943,0.165746
130,16.666666666666668,43.51666666666671,0.0025000000000000005,0.00633047617841814,1666.6666666666665,0.025,166.66666666666669,0.039,5.857780625898451e-06,2.0065300333758812e-06,0.00976296770983075,0.342541
131,20,51.85000000000002,0.0032500000000000003,0.007401787531688902,2000,0.0325,200,0.059,1.169183313298221e-05,9.624763802403488e-06,0.02338366626596442,0.823204
132,23.333333333333336,60.18333333333334,0.004,0.008419533317296128,2333.333333333333,0.04,233.33333333333334,0.085,2.1860357849953575e-05,2.4155083334178904e-05,0.05100750164989167,1.104972
133,26.666666666666668,68.51666666666671,0.004750000000000001,0.009387632967020072,2666.6666666666665,0.04750000000000001,266.6666666666667,0.119,3.8866245305224156e-05,5.260899984894367e-05,0.10364332081393107,1.353591
134,30,76.85000000000002,0.0055000000000000005,0.010309632633423828,3000,0.05500000000000001,300,0.169,6.632333992176184e-05,9.856895191164338e-05,0.1989700197652855,1.486188
135,33.333333333333336,85.18333333333334,0.006250000000000001,0.011188748594413458,3333.333333333333,0.0625,333.33333333333337,0.269,0.000109318,0.00017817100634083172,0.36439499634284167,1.629834
136,36.66666666666667,93.51666666666671,0.007000000000000001,0.012027904738994469,3666.6666666666665,0.07,366.6666666666667,0.35,0.00017485,0.00029463633450383455,0.6411157352569932,1.685083
137,40,101.85000000000002,0.007750000000000001,0.012829765054927432,4000,0.0775,400,0.434,0.000272346,0.00046945911839564255,1.0893858435861727,1.723757
138,43.333333333333336,110.1833333333334,0.0085,0.013596761878863309,4333.333333333333,0.085,433.33333333333337,0.511,0.0004142761200812743,0.0007438659156955345,1.7951965203521885,1.79558
139,46.66666666666667,118.51666666666671,0.009250000000000001,0.014331120540078514,4666.666666666666,0.0925,466.6666666666667,0.574,0.0006168404719659305,0.0011416662338882312,2.878588869174342,1.850829
140,50,126.85000000000002,0.01,0.015034880923743084,5000,0.1,500,0.634,0.0009007622412935089,0.0017467824588968874,4.503811206467544,1.939227
